typeGPU,nbrGPU,model_name,training_dist,stage,batch_size,valid_batch_size,seq_length,nb_layer_freezed,epoch_duration,train_tokens_s,val_tokens_s,maxMemAlloc,maxMemRes,mean_loss,perplexity
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,fsdp,1,4,4,1024,0,119.16720342636108,26231.714829039487,43069.72151448094,61.45,76.93,0.7833376526832581,1.8112213611602783
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,deepspeed,3,1,4,1024,0,77.67047429084778,11674.054005400467,8216.89481812737,29.25,50.1,0.7099034190177917,1.7528958320617676
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,deepspeed,3,2,4,1024,0,97.00234127044678,17268.08440193318,20788.684715485666,43.79,66.04,0.6740629076957703,1.706325650215149
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-13b-hf,fsdp,1,1,4,1024,0,83.05765080451965,6256.081767655016,5641.140060319913,41.14,72.45,0.8182466626167297,1.8812545537948608
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-13b-hf,fsdp,1,1,4,1024,0,83.89179682731628,12274.443195794935,10145.117172375269,32.0,57.76,0.7809788584709167,1.8262231349945068
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-13b-hf,fsdp,1,2,4,1024,0,123.35679411888123,15206.524438199394,19155.4780756326,53.7,76.79,0.757280170917511,1.7979305982589722
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-13b-hf,fsdp,1,2,4,1024,0,286.41772198677063,2486.0702216574227,11469.744335887679,62.82,78.08,0.786504864692688,1.8260197639465332
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-13b-hf,deepspeed,3,1,4,1024,0,136.01246094703674,5840.722668939294,6339.442597650861,48.51,77.58,0.68227618932724,1.7240104675292969
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-7b-hf,deepspeed,3,2,4,1024,0,179.24974489212036,4437.401746253313,11780.354186770932,56.35,77.59,0.7077842354774475,1.7531800270080566
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-7b-hf,fsdp,1,3,4,1024,0,94.40866470336914,15051.610230252609,24268.61143095518,52.12,71.17,0.8219308853149414,1.8758013248443604
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,deepspeed,3,3,4,1024,0,192.67484259605408,11307.76042675927,32689.707785782277,57.83,77.58,0.6595658659934998,1.6714742183685303
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,fsdp,1,3,4,1024,0,95.35369658470154,29967.578572955368,38748.219523690925,47.41,64.44,0.7928242087364197,1.8208013772964478
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,fsdp,1,4,4,1024,0,446.88278460502625,14937.534293824972,16441.016151422664,59.1,75.75,0.7847530841827393,1.8020421266555786
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,2,2,4,1024,0,317.3019425868988,8409.52527748408,71146.01351110978,45.73,62.09,0.6465986967086792,1.6614075899124146
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,2,4,4,1024,0,385.71485781669617,12216.918446022595,96386.3158279372,73.51,78.47,0.6462286710739136,1.6420029401779175
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,fsdp,1,2,4,1024,0,540.6307420730591,9579.622891816258,4752.689885659296,31.21,45.19,0.7847898602485657,1.8112872838974
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,fsdp,1,3,4,1024,0,452.98342776298523,16064.55249893965,10737.800831101851,45.06,62.12,0.7734899520874023,1.7960861921310425
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,3,4,4,1024,0,402.74859523773193,17039.636891499445,15799.577781443848,65.59,78.16,0.6529620289802551,1.6450694799423218
NVIDIA A100-SXM4-80GB,2,meta-llama/Llama-2-7b-hf,fsdp,1,2,4,1024,0,70.31878781318665,7255.5537109375,10224.548828125,47.72,66.34,0.8807317018508911,1.94123113155365
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,2,2,4,1024,0,295.61972403526306,9039.73828125,87561.0078125,45.73,62.09,0.6465986967086792,1.6614075899124146
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,2,3,4,1024,0,317.29856991767883,12595.15234375,91519.65625,59.47,76.29,0.6372972726821899,1.6449527740478516
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,2,4,4,1024,0,390.38723969459534,12134.025390625,94299.4140625,73.51,78.45,0.6462286710739136,1.6420029401779175
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,3,2,4,1024,0,445.41022872924805,9707.81640625,6462.57958984375,37.51,53.12,0.6602323651313782,1.6623553037643433
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,3,4,4,1024,0,405.7563316822052,16715.05078125,15361.013671875,65.59,78.28,0.6529620289802551,1.6450694799423218
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,deepspeed,3,3,4,1024,0,787.0445499420166,8075.3583984375,5664.87646484375,51.55,67.58,0.644408106803894,1.6480218172073364
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,fsdp,1,2,4,1024,0,464.08290004730225,11092.0146484375,6759.3212890625,31.21,45.19,0.7847898602485657,1.8112872838974
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,fsdp,1,3,4,1024,0,447.38222551345825,16401.119140625,11278.7734375,45.06,62.12,0.7734899520874023,1.7960861921310425
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-7b-hf,fsdp,1,4,4,1024,0,420.53870916366577,16915.80859375,16179.0703125,59.1,75.75,0.7847530841827393,1.8020421266555786
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-13b-hf,deepspeed,2,1,4,1024,0,601.8119609355927,2125.6796875,40907.515625,54.8,78.47,0.6493762135505676,1.6776407957077026
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-13b-hf,fsdp,1,2,4,1024,0,1040.999917268753,4665.71044921875,3008.703369140625,49.15,72.31,0.7411640286445618,1.757858395576477
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-13b-hf,fsdp,1,3,4,1024,0,1204.425241470337,4493.056640625,5911.994140625,70.62,78.52,0.7300549149513245,1.7434155941009521
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-13b-hf,deepspeed,3,1,4,1024,0,861.6150603294373,2533.576171875,1305.80126953125,36.39,56.93,0.6558706760406494,1.682141900062561
NVIDIA A100-SXM4-80GB,16,meta-llama/Llama-2-13b-hf,deepspeed,3,2,4,1024,0,1061.3252041339874,3918.656005859375,2789.39404296875,58.93,78.48,0.6349942088127136,1.64107084274292
